Selling Price,Mileage,Fuel,Seller,Transmission,Owner Type,Number of Seats,Age of Car,Efficiency,Engine Capacity
265000,50000,Petrol,Individual,Manual,First Owner,5,4,25.17,799
50000,60000,Petrol,Individual,Manual,Used,5,15,19.33,1248
300000,80000,Diesel,Individual,Manual,First Owner,5,9,22.32,1582
420000,110000,Diesel,Individual,Manual,First Owner,5,3,24.7,1047
750000,14000,Diesel,Individual,Manual,First Owner,7,5,20.77,1248
165000,60000,LPG/CNG,Individual,Manual,Used,5,8,30.46,796
290000,28000,Petrol,Individual,Manual,First Owner,5,3,25.17,799
160000,57000,Petrol,Individual,Manual,First Owner,5,9,21.1,814
695000,50000,Diesel,Individual,Manual,First Owner,5,3,26.59,1248
231000,70000,LPG/CNG,Individual,Manual,First Owner,5,8,26.2,998
1050000,60000,Diesel,Individual,Manual,First Owner,5,5,21.43,1364
400000,70000,Petrol,Individual,Manual,First Owner,5,7,18.5,1197
500000,40000,Petrol,Individual,Manual,First Owner,5,4,18.6,1197
150000,120000,Diesel,Individual,Manual,Used,5,10,21.12,1248
400000,140000,Diesel,Individual,Manual,Used,7,4,14.02,2179
120000,100000,Diesel,Individual,Manual,Used,5,10,17.0,1405
480000,120000,Diesel,Individual,Manual,Used,7,6,14.02,2179
200000,120000,Diesel,Individual,Manual,Used,5,7,19.09,1405
300000,64000,Diesel,Individual,Manual,Used,5,8,17.8,1399
350000,25000,Petrol,Individual,Manual,First Owner,5,5,23.1,998
580000,12000,Petrol,Individual,Manual,First Owner,7,1,20.0,999
200000,70000,Diesel,Individual,Manual,Used,5,8,25.44,936
750000,120000,Diesel,Individual,Manual,First Owner,5,4,11.0,2179
261000,90000,Petrol,Individual,Manual,First Owner,5,4,25.17,799
371000,40000,Petrol,Individual,Manual,First Owner,5,5,18.2,1199
320000,300000,Diesel,Individual,Manual,Used,7,10,13.6,2523
204999,120000,Diesel,Individual,Manual,Used,5,8,19.09,1396
110000,90000,Petrol,Individual,Manual,Used,5,17,13.2,1495
150000,100000,Diesel,Individual,Manual,Used,5,11,17.7,1399
625000,90000,Diesel,Individual,Manual,Used,7,4,15.96,2523
1300000,50000,Diesel,Individual,Manual,Used,7,3,15.4,1997
900000,168000,Diesel,Individual,Manual,First Owner,5,5,20.6,1968
180000,110000,Diesel,Individual,Manual,Used,5,10,20.0,1399
421000,120000,Diesel,Individual,Manual,Used,7,10,13.6,2523
204999,120000,Diesel,Individual,Manual,Used,5,8,19.09,1396
900000,40000,Diesel,Individual,Manual,First Owner,5,3,25.5,1498
165000,110000,Petrol,Individual,Manual,Used,5,14,17.7,1497
270000,100000,Diesel,Individual,Manual,Used,5,10,21.9,1396
750000,40000,Diesel,Individual,Manual,First Owner,5,3,24.3,1248
750000,30000,Petrol,Individual,Manual,First Owner,5,1,18.6,1197
40000,80000,Petrol,Individual,Manual,Used,4,18,16.1,796
190000,90000,Diesel,Individual,Manual,Used,5,9,20.0,1399
395000,200000,Diesel,Individual,Manual,Used,7,11,12.8,2494
800000,125000,Diesel,Individual,Manual,Used,7,10,11.5,2982
315000,80000,Petrol,Individual,Manual,First Owner,5,9,17.0,1197
1600000,44000,Diesel,Individual,Automatic,Used,5,6,16.55,1968
409999,90000,Diesel,Individual,Manual,First Owner,5,7,23.59,1364
580000,32000,Petrol,Individual,Manual,First Owner,5,2,18.9,1197
340000,70000,Petrol,Individual,Manual,First Owner,5,7,18.5,1197
270000,43000,Petrol,Individual,Manual,First Owner,5,5,21.1,814
280000,80000,Diesel,Individual,Manual,First Owner,5,3,22.95,1248
130000,60000,Diesel,Individual,Manual,First Owner,5,8,22.3,1248
260000,18945,Petrol,Individual,Manual,First Owner,5,6,21.1,814
710000,70000,Diesel,Individual,Manual,First Owner,5,2,24.0,1186
204999,100000,Petrol,Individual,Manual,Used,7,7,15.1,1196
300000,60000,Petrol,Individual,Manual,First Owner,7,3,20.62,1198
180000,144000,Diesel,Individual,Manual,Used,5,11,19.3,1248
700000,120000,Diesel,Individual,Manual,First Owner,7,4,18.49,1493
320000,107825,Diesel,Individual,Manual,Used,5,8,21.9,1396
370000,15000,Petrol,Individual,Manual,First Owner,5,0,22.05,796
340000,10000,Petrol,Individual,Manual,First Owner,5,2,25.17,799
1040000,1620,Petrol,Individual,Manual,First Owner,6,1,19.01,1462
750000,30000,Diesel,Individual,Manual,First Owner,5,2,21.19,1396
600000,70000,Diesel,Individual,Manual,First Owner,9,2,18.49,2179
550000,70000,Diesel,Individual,Manual,First Owner,9,4,15.96,2523
600000,95000,Diesel,Individual,Manual,Used,7,7,12.99,2494
550000,50000,Diesel,Individual,Manual,First Owner,5,3,24.7,1047
750000,160000,Diesel,Individual,Manual,First Owner,5,5,25.1,1498
450000,10000,Petrol,Individual,Manual,First Owner,5,1,20.3,1086
400000,100000,Diesel,Individual,Manual,Used,7,8,20.77,1248
520000,50000,Diesel,Individual,Manual,Used,5,4,25.2,1248
199000,60000,Petrol,Individual,Manual,Used,5,7,20.2,998
150000,110000,Diesel,Individual,Manual,First Owner,5,8,25.44,936
540000,80000,Diesel,Individual,Manual,Used,5,4,21.19,1396
250000,85000,Diesel,Individual,Manual,Used,5,9,21.5,1248
200000,90000,Petrol,Individual,Manual,Used,5,10,18.9,1061
130000,90000,Diesel,Individual,Manual,Used,5,9,25.0,1396
90000,90000,Petrol,Individual,Manual,First Owner,4,13,16.1,796
450000,120000,Diesel,Individual,Manual,Used,5,8,22.32,1582
280000,120000,Diesel,Individual,Manual,First Owner,5,11,18.1,1493
280000,160000,Diesel,Individual,Manual,Used,7,13,13.93,2956
120000,141000,Petrol,Individual,Manual,Used,5,14,17.3,993
290000,100000,Diesel,Individual,Manual,Used,5,12,17.8,1248
1000000,15000,Diesel,Individual,Manual,First Owner,5,1,22.1,1396
415000,108000,Diesel,Individual,Manual,First Owner,5,8,19.3,1248
415000,108000,Diesel,Individual,Manual,First Owner,5,8,23.4,1248
240000,55000,Diesel,Individual,Manual,First Owner,5,5,25.44,936
250000,37944,Diesel,Individual,Manual,First Owner,5,10,18.4,1248
175000,90400,Diesel,Individual,Manual,First Owner,5,9,20.0,1399
220000,85000,Diesel,Individual,Manual,Used,5,12,16.8,1493
85000,120000,Diesel,Individual,Manual,Used,5,17,20.8,1527
675000,5000,Petrol,Individual,Manual,First Owner,5,1,21.21,1197
535000,50000,Diesel,Individual,Manual,First Owner,5,4,19.87,1461
675000,5000,Petrol,Individual,Manual,First Owner,7,1,20.0,999
800000,90000,Diesel,Individual,Manual,First Owner,5,4,24.3,1248
425000,96000,Diesel,Individual,Manual,Used,7,8,20.77,1248
150000,80000,Petrol,Individual,Manual,Used,5,9,15.37,1196
90000,60000,Petrol,Individual,Manual,Used,5,13,18.2,1061
850000,90000,Diesel,Individual,Manual,First Owner,7,5,15.1,2179
330000,193623,Diesel,Individual,Manual,Used,8,12,12.8,2494
850000,63186,Diesel,Individual,Manual,First Owner,5,3,22.54,1396
305000,219000,Diesel,Individual,Manual,Used,7,12,13.6,2523
910000,110000,Diesel,Individual,Manual,Used,7,7,12.99,2494
1100000,151000,Diesel,Individual,Manual,First Owner,8,8,12.8,2494
675000,5000,Petrol,Individual,Automatic,First Owner,5,1,21.4,1197
150000,91500,Petrol,Individual,Manual,First Owner,5,10,19.7,796
550000,23000,Diesel,Individual,Manual,First Owner,5,5,25.2,1248
350000,40000,Diesel,Individual,Manual,First Owner,5,8,20.54,1598
300000,70000,Diesel,Individual,Manual,First Owner,5,8,23.2,1248
1745000,10000,Diesel,Individual,Automatic,First Owner,7,2,11.36,2755
611000,90000,Diesel,Individual,Manual,Used,7,6,14.0,2523
400000,68000,Petrol,Individual,Manual,First Owner,5,4,19.4,1198
700000,120000,Diesel,Individual,Manual,First Owner,5,7,22.7,1582
300000,65000,Diesel,Individual,Manual,First Owner,5,7,22.1,1248
65000,85000,Petrol,Individual,Manual,First Owner,5,15,15.3,1341
200000,94000,Petrol,Individual,Manual,Used,5,9,18.9,998
650000,100000,Diesel,Individual,Manual,First Owner,5,5,22.54,1396
650000,80000,Diesel,Individual,Manual,First Owner,5,5,22.54,1396
350000,80000,Diesel,Individual,Manual,Used,5,7,22.07,1199
75000,140500,Diesel,Individual,Manual,Used,5,9,17.88,1396
240000,143000,Petrol,Individual,Manual,First Owner,5,10,17.5,1298
240000,60000,Petrol,Individual,Manual,First Owner,5,7,20.92,998
180000,120000,Diesel,Individual,Manual,Used,5,9,18.4,1248
900000,80000,Diesel,Individual,Automatic,Used,7,6,13.01,2199
425000,63000,Diesel,Individual,Manual,Used,7,6,18.06,2523
95000,120000,Petrol,Individual,Manual,Used,5,11,18.0,995
811000,100000,Diesel,Individual,Manual,First Owner,5,2,28.4,1248
1100000,60000,Petrol,Individual,Manual,First Owner,5,2,17.0,1591
600000,90000,Diesel,Individual,Manual,First Owner,9,7,13.58,2499
550000,50000,Diesel,Individual,Manual,Used,7,6,20.77,1248
715000,70000,Diesel,Individual,Manual,First Owner,7,5,15.4,2179
300000,40000,Diesel,Individual,Manual,First Owner,5,10,19.33,1248
100000,120000,Diesel,Individual,Manual,Used,5,14,16.1,1405
500000,195000,Diesel,Individual,Manual,First Owner,8,7,14.0,2523
350000,40000,Petrol,Individual,Manual,First Owner,5,7,20.51,998
100000,40000,Diesel,Individual,Manual,First Owner,5,12,16.8,1405
325000,120000,Diesel,Individual,Manual,First Owner,7,8,13.93,2179
220000,360003,Petrol,Individual,Manual,Used,5,8,18.9,998
55000,60000,Petrol,Individual,Manual,Used,4,21,16.1,796
330000,20000,Petrol,Individual,Manual,First Owner,5,4,25.17,799
480000,37000,Diesel,Individual,Manual,First Owner,7,6,15.96,2523
950000,57000,Diesel,Individual,Manual,Used,5,2,25.1,1248
300000,110000,Diesel,Individual,Manual,Used,5,9,16.2,1493
170000,110000,Petrol,Individual,Manual,Used,5,14,13.9,1599
850000,120000,Diesel,Individual,Manual,Used,8,7,12.99,2494
900000,8079,Diesel,Dealer,Manual,First Owner,5,1,24.7,1047
1325000,114368,Diesel,Dealer,Manual,Used,7,5,12.99,2494
350000,79990,Diesel,Dealer,Manual,Used,5,8,17.8,1399
425000,81632,Diesel,Dealer,Manual,First Owner,5,8,20.0,1399
600000,155201,Diesel,Dealer,Manual,First Owner,5,4,26.1,1498
750000,101504,Diesel,Dealer,Manual,First Owner,5,6,22.7,1498
450000,90165,Diesel,Dealer,Manual,First Owner,5,8,17.8,1399
325000,86017,Diesel,Dealer,Manual,Used,5,10,25.5,1498
900000,85036,Diesel,Dealer,Manual,Used,7,7,15.1,2179
350000,160254,Diesel,Dealer,Manual,Used,5,7,19.33,1248
600000,125531,Diesel,Dealer,Manual,Used,5,7,22.77,1498
1100000,10000,Petrol,Individual,Manual,First Owner,5,1,17.0,1591
520000,20000,Petrol,Individual,Manual,First Owner,5,3,23.84,1199
885000,170000,Diesel,Individual,Manual,First Owner,7,5,15.4,2179
950000,40000,Diesel,Individual,Automatic,First Owner,5,2,21.5,1497
229999,120000,Petrol,Individual,Manual,Used,5,12,17.0,1497
409999,100000,Diesel,Individual,Manual,Used,5,7,23.2,1248
300000,110000,Diesel,Individual,Manual,Used,5,9,17.8,1399
175000,120000,Diesel,Individual,Manual,Used,5,12,16.8,1405
108000,206000,Petrol,Individual,Manual,Used,5,20,19.7,796
425000,40000,Petrol,Individual,Manual,Used,5,3,23.1,998
272000,170000,Diesel,Individual,Manual,Used,5,9,16.52,1991
310000,70000,Petrol,Individual,Manual,First Owner,5,7,19.81,1086
1125000,105000,Diesel,Individual,Manual,First Owner,5,3,21.38,1396
450000,46000,Petrol,Individual,Manual,Used,5,6,19.1,1197
388000,80000,Diesel,Individual,Manual,Used,5,9,22.07,1199
400000,60000,Petrol,Individual,Manual,First Owner,5,9,16.2,1599
760000,70000,Diesel,Individual,Manual,Used,5,5,25.1,1498
120000,90000,Petrol,Individual,Manual,First Owner,5,11,19.7,796
757000,25000,Diesel,Individual,Manual,First Owner,5,1,28.4,1248
270000,53000,Petrol,Individual,Manual,Used,5,5,22.74,796
250000,90000,Diesel,Individual,Manual,Used,7,9,13.55,2179
800000,60000,Diesel,Individual,Manual,First Owner,7,9,12.8,2494
1380000,150000,Diesel,Individual,Manual,First Owner,7,6,13.0,2982
700000,24000,Diesel,Individual,Manual,First Owner,6,6,16.55,2498
450000,100000,Diesel,Individual,Manual,Used,7,4,24.2,1498
650000,6000,Petrol,Individual,Manual,First Owner,6,2,18.15,1198
950000,49700,Diesel,Individual,Manual,First Owner,7,7,15.1,2179
626000,80000,Diesel,Individual,Manual,Used,7,13,12.8,2494
200000,100000,Diesel,Individual,Manual,First Owner,5,20,19.33,1248
600000,10000,Petrol,Individual,Automatic,First Owner,5,1,21.21,1197
290000,21000,Petrol,Individual,Manual,First Owner,5,1,25.17,799
215000,25000,Petrol,Individual,Manual,First Owner,5,7,20.92,998
250000,22000,Petrol,Individual,Manual,First Owner,5,4,25.17,799
750000,50000,Diesel,Individual,Manual,First Owner,7,3,24.52,1248
250000,20000,Petrol,Individual,Manual,Used,5,4,23.95,998
950000,15000,Petrol,Individual,Automatic,First Owner,7,3,15.4,1497
793000,30000,Diesel,Individual,Manual,First Owner,5,2,25.83,1498
750000,74000,Diesel,Individual,Manual,First Owner,5,5,19.67,1582
725000,6550,Petrol,Individual,Automatic,First Owner,5,3,18.2,1199
480000,30000,Diesel,Individual,Manual,First Owner,5,4,24.0,1120
3750000,56000,Diesel,Dealer,Automatic,First Owner,4,7,11.2,2993
795000,41779,Petrol,Dealer,Manual,First Owner,5,2,21.21,1197
625000,54000,Petrol,Dealer,Manual,First Owner,5,4,18.7,1199
2900000,31000,Diesel,Dealer,Automatic,First Owner,5,4,13.0,2143
625000,37000,Diesel,Individual,Automatic,First Owner,5,3,26.8,1248
440000,90000,Diesel,Individual,Automatic,Used,4,9,18.1,1991
1400000,13534,Petrol,Dealer,Manual,First Owner,5,2,14.28,1798
1450000,7000,Petrol,Dealer,Automatic,Used,5,3,14.53,1794
2700000,23000,Diesel,Dealer,Automatic,First Owner,5,3,17.9,2143
1925000,43000,Diesel,Dealer,Automatic,First Owner,8,1,11.36,2755
1900000,5000,Diesel,Dealer,Automatic,First Owner,5,0,17.8,1493
844999,70000,Diesel,Dealer,Manual,First Owner,5,3,28.09,1248
650000,99000,Diesel,Dealer,Automatic,First Owner,5,4,21.66,1498
750000,15000,Petrol,Dealer,Manual,First Owner,5,2,22.0,1197
6000000,28156,Diesel,Dealer,Automatic,First Owner,4,2,17.09,2993
610000,30000,Petrol,Dealer,Manual,First Owner,5,5,18.7,1199
2940000,100000,Diesel,Dealer,Automatic,First Owner,7,2,12.9,2755
1150000,63309,Diesel,Dealer,Manual,First Owner,5,3,19.67,1582
1825000,94000,Diesel,Dealer,Automatic,First Owner,7,4,11.36,2755
890000,29000,Petrol,Dealer,Automatic,First Owner,5,2,17.4,1197
2625000,9000,Diesel,Dealer,Automatic,First Owner,5,3,13.6,1999
5150000,20000,Petrol,Dealer,Automatic,First Owner,5,1,22.37,2487
3200000,45000,Diesel,Dealer,Automatic,First Owner,5,3,19.33,1999
503000,110000,Diesel,Individual,Manual,First Owner,7,5,14.1,2179
3800000,20000,Diesel,Individual,Automatic,First Owner,5,1,18.0,1969
2000000,68089,Petrol,Dealer,Automatic,First Owner,5,4,19.16,2494
225000,58343,Petrol,Dealer,Manual,First Owner,5,7,21.79,998
740000,38817,Diesel,Dealer,Manual,First Owner,5,2,27.39,1248
550000,56494,Petrol,Dealer,Manual,First Owner,5,4,18.2,1199
750000,79328,Diesel,Dealer,Manual,Used,7,7,12.99,2494
650000,5621,Petrol,Dealer,Automatic,First Owner,5,1,22.0,1197
625000,25538,Petrol,Dealer,Manual,First Owner,5,3,16.78,1496
600000,69779,Petrol,Dealer,Automatic,First Owner,5,2,22.0,1197
450000,56290,Diesel,Dealer,Manual,First Owner,5,3,24.0,1186
5400000,7500,Diesel,Dealer,Automatic,First Owner,5,1,16.78,1995
5500000,8500,Diesel,Dealer,Automatic,First Owner,5,1,16.78,1995
779000,7032,Petrol,Dealer,Automatic,First Owner,5,1,19.0,1199
645000,11000,Petrol,Dealer,Automatic,First Owner,5,4,14.3,1598
2475000,2000,Diesel,Dealer,Automatic,First Owner,5,2,16.8,1984
2625000,9000,Diesel,Dealer,Automatic,First Owner,5,3,13.6,1999
5150000,20000,Petrol,Dealer,Automatic,First Owner,5,1,22.37,2487
3200000,45000,Diesel,Dealer,Automatic,First Owner,5,3,19.33,1999
503000,110000,Diesel,Individual,Manual,First Owner,7,5,14.1,2179
3800000,20000,Diesel,Individual,Automatic,First Owner,5,1,18.0,1969
2000000,68089,Petrol,Dealer,Automatic,First Owner,5,4,19.16,2494
225000,58343,Petrol,Dealer,Manual,First Owner,5,7,21.79,998
740000,38817,Diesel,Dealer,Manual,First Owner,5,2,27.39,1248
550000,56494,Petrol,Dealer,Manual,First Owner,5,4,18.2,1199
750000,79328,Diesel,Dealer,Manual,Used,7,7,12.99,2494
650000,5621,Petrol,Dealer,Automatic,First Owner,5,1,22.0,1197
625000,25538,Petrol,Dealer,Manual,First Owner,5,3,16.78,1496
600000,69779,Petrol,Dealer,Automatic,First Owner,5,2,22.0,1197
450000,56290,Diesel,Dealer,Manual,First Owner,5,3,24.0,1186
5400000,7500,Diesel,Dealer,Automatic,First Owner,5,1,16.78,1995
5500000,8500,Diesel,Dealer,Automatic,First Owner,5,1,16.78,1995
779000,7032,Petrol,Dealer,Automatic,First Owner,5,1,19.0,1199
645000,11000,Petrol,Dealer,Automatic,First Owner,5,4,14.3,1598
2475000,2000,Diesel,Dealer,Automatic,First Owner,5,2,16.8,1984
2625000,9000,Diesel,Dealer,Automatic,First Owner,5,3,13.6,1999
5150000,20000,Petrol,Dealer,Automatic,First Owner,5,1,22.37,2487
3200000,45000,Diesel,Dealer,Automatic,First Owner,5,3,19.33,1999
503000,110000,Diesel,Individual,Manual,First Owner,7,5,14.1,2179
3800000,20000,Diesel,Individual,Automatic,First Owner,5,1,18.0,1969
2000000,68089,Petrol,Dealer,Automatic,First Owner,5,4,19.16,2494
225000,58343,Petrol,Dealer,Manual,First Owner,5,7,21.79,998
740000,38817,Diesel,Dealer,Manual,First Owner,5,2,27.39,1248
550000,56494,Petrol,Dealer,Manual,First Owner,5,4,18.2,1199
750000,79328,Diesel,Dealer,Manual,Used,7,7,12.99,2494
650000,5621,Petrol,Dealer,Automatic,First Owner,5,1,22.0,1197
625000,25538,Petrol,Dealer,Manual,First Owner,5,3,16.78,1496
600000,69779,Petrol,Dealer,Automatic,First Owner,5,2,22.0,1197
450000,56290,Diesel,Dealer,Manual,First Owner,5,3,24.0,1186
5400000,7500,Diesel,Dealer,Automatic,First Owner,5,1,16.78,1995
5500000,8500,Diesel,Dealer,Automatic,First Owner,5,1,16.78,1995
779000,7032,Petrol,Dealer,Automatic,First Owner,5,1,19.0,1199
645000,11000,Petrol,Dealer,Automatic,First Owner,5,4,14.3,1598
2475000,2000,Diesel,Dealer,Automatic,First Owner,5,2,16.8,1984
2625000,9000,Diesel,Dealer,Automatic,First Owner,5,3,13.6,1999
5150000,20000,Petrol,Dealer,Automatic,First Owner,5,1,22.37,2487
3200000,45000,Diesel,Dealer,Automatic,First Owner,5,3,19.33,1999
503000,110000,Diesel,Individual,Manual,First Owner,7,5,14.1,2179
3800000,20000,Diesel,Individual,Automatic,First Owner,5,1,18.0,1969
2000000,68089,Petrol,Dealer,Automatic,First Owner,5,4,19.16,2494
225000,58343,Petrol,Dealer,Manual,First Owner,5,7,21.79,998
740000,38817,Diesel,Dealer,Manual,First Owner,5,2,27.39,1248
550000,56494,Petrol,Dealer,Manual,First Owner,5,4,18.2,1199
750000,79328,Diesel,Dealer,Manual,Used,7,7,12.99,2494
650000,5621,Petrol,Dealer,Automatic,First Owner,5,1,22.0,1197
625000,25538,Petrol,Dealer,Manual,First Owner,5,3,16.78,1496
600000,69779,Petrol,Dealer,Automatic,First Owner,5,2,22.0,1197
450000,56290,Diesel,Dealer,Manual,First Owner,5,3,24.0,1186
5400000,7500,Diesel,Dealer,Automatic,First Owner,5,1,16.78,1995
5500000,8500,Diesel,Dealer,Automatic,First Owner,5,1,16.78,1995
779000,7032,Petrol,Dealer,Automatic,First Owner,5,1,19.0,1199
645000,11000,Petrol,Dealer,Automatic,First Owner,5,4,14.3,1598
2475000,2000,Diesel,Dealer,Automatic,First Owner,5,2,16.8,1984
385000,155000,Diesel,Individual,Manual,First Owner,5,3,25.0,1396
400000,35000,Petrol,Individual,Automatic,First Owner,5,4,23.1,998
550000,50000,Diesel,Individual,Manual,First Owner,5,2,24.0,1186
270000,185000,Diesel,Individual,Manual,First Owner,7,10,14.8,2499
200000,175000,Diesel,Individual,Manual,Used,5,7,19.09,1396
310000,11500,Petrol,Individual,Manual,First Owner,5,4,25.17,799
700000,3000,Diesel,Individual,Manual,First Owner,5,1,25.4,1186
480000,80000,Diesel,Individual,Manual,Used,5,5,22.1,1248
90000,40000,Petrol,Individual,Manual,Used,5,15,19.7,796
80000,40000,Petrol,Individual,Manual,Used,5,15,19.7,796
350000,90000,Diesel,Individual,Manual,First Owner,5,5,23.2,1248
600000,100000,Diesel,Individual,Manual,First Owner,5,3,23.65,1248
350000,120000,Diesel,Individual,Manual,Used,5,9,13.5,2179
770000,50000,Diesel,Individual,Manual,First Owner,5,2,24.3,1248
350000,25000,Diesel,Individual,Manual,First Owner,5,8,21.03,1461
600000,50000,Diesel,Individual,Manual,Used,8,9,12.05,2179
750000,71000,Diesel,Individual,Manual,First Owner,7,4,18.49,1493
340000,40000,Petrol,Individual,Manual,First Owner,5,4,20.51,998
650000,31800,Petrol,Individual,Manual,First Owner,5,2,18.6,1197
300000,65000,Petrol,Individual,Manual,First Owner,5,6,20.36,1197
204999,15000,Petrol,Individual,Manual,Used,5,6,22.74,796
254999,70000,Diesel,Individual,Manual,Used,5,8,20.8,1461
650000,5000,Petrol,Individual,Manual,First Owner,5,3,18.16,1196
280000,50000,Petrol,Individual,Manual,Used,5,3,21.1,814
100000,80000,Diesel,Individual,Manual,First Owner,5,9,17.2,1396
575000,70000,Diesel,Individual,Manual,Used,9,6,13.58,2499
780000,40000,Diesel,Individual,Manual,First Owner,5,3,24.3,1248
467000,157000,Diesel,Individual,Manual,First Owner,7,7,15.96,2523
1050000,90000,Diesel,Individual,Manual,First Owner,7,5,15.4,2179
225000,80000,Petrol,Individual,Manual,Used,5,9,19.81,1086
90000,90000,Petrol,Individual,Manual,Used,5,16,19.33,1248
80000,80000,Petrol,Individual,Automatic,Used,5,16,19.33,1248
300000,80000,Diesel,Individual,Manual,First Owner,5,8,23.59,1364
260000,70000,Diesel,Individual,Manual,Used,5,8,21.03,1461
90000,50000,Petrol,Individual,Manual,Used,5,11,16.0,995
280000,60000,Diesel,Individual,Manual,First Owner,5,8,20.0,1399
350000,106000,Diesel,Individual,Manual,Used,5,6,20.8,1461
229999,80000,Diesel,Individual,Manual,Used,7,14,10.5,2179
550000,80000,Diesel,Individual,Manual,Used,9,4,15.96,2523
850000,110000,Diesel,Individual,Manual,Used,8,7,12.99,2494
370000,120000,Diesel,Individual,Manual,Used,7,9,13.6,2523
250000,27000,Petrol,Individual,Manual,First Owner,5,7,20.92,998
95000,70000,Petrol,Individual,Manual,Used,5,13,19.7,796
180000,70000,Petrol,Individual,Manual,Used,5,10,18.9,1061
650000,50000,Diesel,Individual,Automatic,First Owner,7,4,17.45,1493
530000,60000,Diesel,Individual,Manual,First Owner,5,2,25.4,1186
610000,15000,Petrol,Individual,Manual,First Owner,5,3,22.0,1197
200000,40000,Petrol,Individual,Manual,First Owner,5,9,19.33,1248
265000,135000,Diesel,Individual,Manual,First Owner,8,10,14.0,2498
560000,26300,Petrol,Individual,Manual,First Owner,5,2,23.84,1199
430000,120000,Diesel,Individual,Manual,First Owner,7,6,15.96,2523
711000,35000,Diesel,Individual,Manual,First Owner,5,3,28.4,1248
511000,30000,Petrol,Individual,Manual,First Owner,5,5,20.85,1197
450000,165000,Diesel,Individual,Manual,First Owner,7,8,15.96,2523
325000,50000,Petrol,Individual,Manual,First Owner,5,5,17.57,1193
434999,120000,Diesel,Individual,Manual,First Owner,5,7,21.64,1461
210000,100000,Diesel,Individual,Manual,Used,5,10,20.0,1399
140000,90000,Petrol,Individual,Manual,Used,5,11,19.33,1248
160000,120000,Petrol,Individual,Manual,Used,5,13,15.0,1586
650000,70000,Petrol,Individual,Manual,Used,7,3,17.5,1373
250000,90000,Diesel,Individual,Manual,Used,5,12,25.200000000000014,1248
320000,72000,Petrol,Individual,Manual,First Owner,5,6,18.6,1197
290000,50000,Petrol,Individual,Manual,First Owner,5,3,23.01,999
163000,5000,Diesel,Individual,Manual,Used,5,24,19.33,1248
80000,30000,Petrol,Individual,Manual,First Owner,4,7,25.4,624
1100000,20000,Diesel,Individual,Manual,First Owner,7,3,14.1,2179
600000,110000,Diesel,Individual,Manual,First Owner,5,5,26.21,1248
340000,25000,Petrol,Individual,Manual,First Owner,5,3,25.17,799
750000,120000,Diesel,Individual,Manual,First Owner,7,6,12.99,2494
100000,40000,Petrol,Individual,Manual,First Owner,5,14,19.7,796
395000,10000,Petrol,Individual,Manual,First Owner,5,1,25.17,799
200000,65000,Petrol,Individual,Manual,First Owner,5,10,18.9,1061
450000,10000,LPG/CNG,Individual,Manual,First Owner,5,1,21.94,1196
180000,110000,Petrol,Individual,Manual,Used,5,8,13.87,1390
190000,120000,Diesel,Individual,Manual,Used,7,12,13.6,2523
310000,72000,Petrol,Individual,Manual,First Owner,5,5,15.37,1196
351000,89100,Diesel,Individual,Manual,Used,5,6,23.2,1248
190000,94000,Petrol,Individual,Manual,Used,5,14,17.4,1599
225000,120000,Petrol,Individual,Manual,Used,5,5,21.1,814
130000,110000,Petrol,Individual,Manual,First Owner,5,8,16.2,995
1000000,50000,Diesel,Individual,Manual,First Owner,5,2,28.09,1248
55000,90000,Diesel,Individual,Manual,Used,5,16,16.8,1405
330000,23000,Petrol,Individual,Manual,First Owner,5,6,18.2,1199
166000,50000,Petrol,Individual,Manual,First Owner,5,7,16.8,796
200000,300000,Diesel,Individual,Manual,First Owner,8,7,14.0,2498
140000,50000,Petrol,Individual,Manual,Used,5,9,20.92,998
370000,140000,LPG/CNG,Individual,Manual,First Owner,5,3,21.94,1196
720000,16000,Petrol,Individual,Automatic,First Owner,5,1,17.4,1197
500000,126000,Diesel,Individual,Manual,First Owner,5,5,21.19,1396
570000,15000,Petrol,Individual,Manual,First Owner,5,1,20.14,1197
210000,200000,Petrol,Individual,Manual,First Owner,5,10,17.5,1197
120000,120000,Petrol,Individual,Manual,First Owner,5,11,19.7,796
95000,120000,Petrol,Individual,Manual,Used,5,15,15.3,1341
196000,110000,Petrol,Individual,Automatic,Used,5,10,16.95,1197
392000,38000,Petrol,Individual,Manual,First Owner,5,4,15.37,1196
150000,104000,Petrol,Individual,Manual,First Owner,5,10,15.0,1368
595000,120000,Petrol,Individual,Manual,First Owner,7,3,15.4,1497
833000,35000,Diesel,Individual,Automatic,First Owner,5,2,24.3,1248
280000,210000,Diesel,Individual,Manual,First Owner,5,9,22.9,1248
35000,35000,Petrol,Individual,Manual,Used,4,17,16.1,796
180000,85000,Diesel,Individual,Manual,Used,5,11,21.1,1248
225000,80000,Petrol,Individual,Manual,First Owner,5,8,18.9,998
1400000,50000,Diesel,Individual,Automatic,First Owner,5,8,14.84,2143
340000,40000,Diesel,Individual,Manual,First Owner,5,11,23.0,1396
550000,216000,Diesel,Individual,Manual,First Owner,8,10,12.8,2494
400000,65000,Petrol,Individual,Manual,Used,5,3,20.51,998
90000,100000,Petrol,Individual,Manual,Used,5,14,15.3,1341
650000,84000,Diesel,Individual,Manual,First Owner,5,5,28.09,1248
